danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_
58.0,27.0,-6.0,5.0,88.0,,13.0,35.0,206.0,188.0,1
0.3429999999999999,0.12,-24.19,0.0688,0.956,5.539999999999999e-05,0.7240000000000001,0.208,86.55,385093.0,0
38.0,64.0,-6.0,8.0,2.0,,8.0,74.0,184.0,251.0,1
0.462,0.956,-3.926,0.102,0.288,0.000309,0.3329999999999999,0.322,146.19299999999998,51981.0,0
0.615,0.629,-10.322,0.044,0.498,6.01e-05,0.135,0.6970000000000001,75.68,225933.0,0
0.537,0.175,-17.430999999999997,0.0872,0.904,0.0,0.2289999999999999,0.161,100.53200000000001,114267.0,0
0.531,0.6759999999999999,-4.945,0.0305,0.00528,0.735,0.1,0.916,0.0,106296.0,0
51.0,81.0,-5.0,5.0,0.0,,21.0,69.0,160.0,230.0,1
0.5479999999999999,0.512,-7.671,0.294,0.268,2.23e-06,0.273,0.718,67.85300000000001,209869.0,0
0.486,0.725,-9.263,0.0661,0.344,0.0,0.0831,0.6940000000000001,193.24900000000002,-1.0,1
0.633,0.904,-6.686,0.0437,0.0308,1.04e-05,0.0698,0.752,0.0,234293.0,0
0.836,0.579,-6.164,0.243,0.00207,0.0,0.11,0.431,85.486,213358.0,1
0.7440000000000001,0.484,-10.351,0.0385,0.0396,0.736,0.108,0.0984,120.00399999999999,247836.0,0
0.41,0.611,-8.271,0.0467,0.0228,0.0,0.116,0.0899,185.727,184448.0,1
0.0769,0.0697,-22.449,0.0426,0.938,0.7759999999999999,0.128,0.0362,177.832,688173.0,0
0.927,0.665,-5.313,0.244,0.061,0.0,0.123,0.175,127.07600000000001,343150.0,1
0.7090000000000001,0.474,-7.923999999999999,0.128,0.07,0.887,0.26,0.58,89.941,160908.0,0
0.536,0.55,-6.733,0.0248,0.0537,0.0,0.134,0.2339999999999999,144.018,238560.0,1
0.675,0.649,-10.271,0.0319,0.0204,0.0,0.0959,0.596,116.624,228000.0,1
29.0,78.0,-3.0,7.0,2.0,,7.0,62.0,174.0,216.0,1
0.768,0.497,-6.144,0.0547,0.172,0.0,0.089,0.345,74.991,219840.0,0
0.245,0.00499,-32.649,0.0476,0.989,0.948,0.0699,0.1009999999999999,73.206,257787.0,0
66.0,86.0,-3.0,11.0,3.0,,8.0,65.0,120.0,221.0,1
